transcript,target_word,latency,asr_confidence,speech_detected,label
this is high force,fork,1.0,0.0,True,CORRECT
Is it a chair?,chair,1.32,0.0,True,CORRECT
You,umbrella,1.41,0.0,True,PARTIAL_ATTEMPT
Is it an umbrella maybe?,umbrella,1.06,0.0,True,CORRECT
the thing you ring people with,telephone,4.35,0.0,True,CIRCUMLOCUTION
You call people with that and talk to them?,telephone,1.6,0.0,True,CIRCUMLOCUTION
"Yes, it's like a phone.",telephone,3.86,0.0,True,CORRECT
Take a fork.,fork,1.0,0.0,True,CORRECT
It's like the thing is sits sit on,chair,1.0,0.0,True,CIRCUMLOCUTION
It's maybe like a chair.,chair,1.93,0.0,True,CORRECT
like a rain rain thing,umbrella,1.01,0.0,True,SEMANTIC_ERROR
"It's like, um... Um, um, um, um...",umbrella,1.83,0.0,True,PARTIAL_ATTEMPT
Is it like an umbrella?,umbrella,2.44,0.0,True,CORRECT
"So, so, so...",telephone,1.01,0.0,True,PARTIAL_ATTEMPT
It's like a phone.,telephone,1.21,0.0,True,CORRECT
it's like um like a full fork,fork,0.98,0.0,True,CORRECT
The thing you sit on when you're tired.,chair,1.05,0.0,True,CIRCUMLOCUTION
It's a chair.,chair,1.56,0.0,True,CORRECT
Umbrella.,umbrella,1.33,0.0,True,CORRECT
"That's way more than you are in my view. I'm going to say that right now. I'm over here just doing the di-pod. Alright, as long as you don't show the dark. Um, the phone?",telephone,2.03,0.0,True,CORRECT
,fork,2.59,0.0,False,UNINTELLIGIBLE
Is it like a fork?,fork,1.68,0.0,True,CORRECT
Maybe like a table.,chair,1.04,0.0,True,SEMANTIC_ERROR
It's like a chair.,chair,2.97,0.0,True,CORRECT
It's like um like um umbrella,umbrella,2.26,0.0,True,CORRECT
"It's like a thing you call people on, something like that.",telephone,5.37,0.0,True,CIRCUMLOCUTION
It's like a phone.,telephone,1.49,0.0,True,CORRECT
,fork,1.0,0.0,False,UNINTELLIGIBLE
,fork,0.0,0.0,False,SILENCE
Is it on a spoon?,fork,2.37,0.0,True,SEMANTIC_ERROR
A chair.,chair,1.01,0.0,True,CORRECT
Is it like the thing you use when it's raining?,umbrella,3.47,0.0,True,CIRCUMLOCUTION
,umbrella,0.0,0.0,False,SILENCE
"Um, it's like an umbrella.",umbrella,1.07,0.0,True,CORRECT
fo- fo- fo- fo- fo-,telephone,1.07,0.0,True,PHONOLOGICAL_ERROR
,telephone,0.0,0.0,False,SILENCE
is it like like,telephone,1.47,0.0,True,PARTIAL_ATTEMPT
is it like 4?,fork,1.13,0.0,True,PARTIAL_ATTEMPT
Is it a fork? Maybe.,fork,5.17,0.0,True,CORRECT
Oh Ch-Ch-Ch-Ch-Chair Make-Chair-Chair,chair,0.95,0.0,True,CORRECT
the thing you use when it's like raining,umbrella,1.01,0.0,True,CIRCUMLOCUTION
"It's um, I'm uh, um, um, uh.",umbrella,0.79,0.0,True,PARTIAL_ATTEMPT
"Yeah, it's like, I'm, I'm, I'm all...",umbrella,3.22,0.0,True,PARTIAL_ATTEMPT
"Oh, is it like an umbrella?",umbrella,1.01,0.0,True,CORRECT
that is like a thing you ring ring people with,telephone,1.53,0.0,True,CIRCUMLOCUTION
Maybe like a phone.,telephone,0.77,0.0,True,CORRECT
"Is it Medien markings, a typo?",fork,1.69,0.0,True,PARTIAL_ATTEMPT
is it? i'm like a a fa.. fi.. fa...,fork,1.84,0.0,True,PARTIAL_ATTEMPT
"Oh, it's like, fork, fork, fork.",fork,6.01,0.0,True,CORRECT
um it's um cha cha cha cha,chair,1.47,0.0,True,CORRECT
and the thing you use umbrella,umbrella,1.15,0.0,True,CORRECT
It's like a phone.,telephone,3.19,0.0,True,CORRECT
Oh,fork,0.91,0.0,True,PARTIAL_ATTEMPT
ANNA Fin bru Bunping now Anna it is a fork,fork,0.76,0.0,True,CORRECT
It's a share.,chair,0.89,0.0,True,PHONOLOGICAL_ERROR
Zashar,chair,0.7,0.0,True,NEOLOGISM
4 4,chair,0.64,0.0,True,PARTIAL_ATTEMPT
you,chair,0.74,0.0,True,PARTIAL_ATTEMPT
,umbrella,1.68,0.0,False,SILENCE
Umbrella.,umbrella,2.27,0.0,True,CORRECT
,telephone,2.39,0.0,False,SILENCE
Fawn.,telephone,1.85,0.0,True,PHONOLOGICAL_ERROR
"Yes, it is a phone.",telephone,0.69,0.0,True,CORRECT
like the thing you eat with,fork,0.88,0.0,True,CIRCUMLOCUTION
like a spoon,fork,0.98,0.0,True,SEMANTIC_ERROR
Is it like a fork?,fork,1.6,0.0,True,CORRECT
Like a chair.,chair,1.29,0.0,True,CORRECT
Is it um an umbrella?,umbrella,0.88,0.0,True,CORRECT
Some like a thing you call someone with,telephone,0.98,0.0,True,CIRCUMLOCUTION
"Um, a full full...",telephone,2.11,0.0,True,PARTIAL_ATTEMPT
Is it like a phone?,telephone,1.73,0.0,True,CORRECT
"Shhh. Uh, apple?",apple,1.0,0.0,True,CORRECT
I think you drive it,car,0.98,0.0,True,CIRCUMLOCUTION
"It's um, car.",car,1.38,0.0,True,CORRECT
It's... it's um... it's um like um... tree.,tree,2.85,0.0,True,CORRECT
It's like I'm a chair.,chair,2.27,0.0,True,CORRECT
Het is net een appel. Het is net een appel.,appel,1.65,0.0,True,CORRECT
Het is het voertuig waarmee je op straat rijdt.,auto,1.32,0.0,True,CIRCUMLOCUTION
Het is auto.,auto,1.46,0.0,True,CORRECT
Is... een poem?,boom,1.01,0.0,True,PHONOLOGICAL_ERROR
Bock,boom,2.29,0.0,True,CORRECT
Het is... Stil.,stoel,0.99,0.0,True,CORRECT
Is it an ammo?,apple,1.38,0.0,True,PARTIAL_ATTEMPT
"like the thing you eat, like the fruit",apple,2.59,0.0,True,CIRCUMLOCUTION
um it's like um app apple,apple,8.3,0.0,True,CORRECT
It's like a vehicle.,car,1.49,0.0,True,SEMANTIC_ERROR
It's like a bar.,car,4.81,0.0,True,CORRECT
Um.. It's um...,tree,0.98,0.0,True,PARTIAL_ATTEMPT
It's like a bee.,tree,1.83,0.0,True,PARTIAL_ATTEMPT
it's like a like a key,tree,2.6,0.0,True,PARTIAL_ATTEMPT
"Oh, it's a tree!",tree,0.98,0.0,True,CORRECT
"So, like a... A hit there.",chair,1.0,0.0,True,PARTIAL_ATTEMPT
it's a torture,chair,2.66,0.0,True,PARTIAL_ATTEMPT
It's a chair.,chair,1.49,0.0,True,CORRECT
"Um, it's an apple.",apple,1.4,0.0,True,CORRECT
It's like a car.,car,1.03,0.0,True,CORRECT
It's um... I don't know.,tree,1.54,0.0,True,PARTIAL_ATTEMPT
It's a plant.,tree,1.38,0.0,True,SEMANTIC_ERROR
It's a tree.,tree,2.08,0.0,True,CORRECT
Chair.,chair,1.08,0.0,True,CORRECT
It's an apple.,apple,0.99,0.0,True,CORRECT
It's a vehicle.,car,1.25,0.0,True,SEMANTIC_ERROR
It's like a car.,car,0.8,0.0,True,CORRECT
It's like the plant you find in a park.,tree,1.06,0.0,True,CIRCUMLOCUTION
It's a car.,tree,1.0,0.0,True,PARTIAL_ATTEMPT
It's a tree.,tree,0.81,0.0,True,CORRECT
,chair,1.57,0.0,False,UNINTELLIGIBLE
you,chair,1.38,0.0,True,PARTIAL_ATTEMPT
you,chair,0.81,0.0,True,PARTIAL_ATTEMPT
It's like a chair.,chair,1.34,0.0,True,CORRECT
Is it a banana?,apple,1.07,0.0,True,SEMANTIC_ERROR
It's a it's it's an L,apple,2.74,0.0,True,PARTIAL_ATTEMPT
"Oh, it's like, um, like, like an apple.",apple,1.38,0.0,True,CORRECT
It's a bush.,car,0.87,0.0,True,PARTIAL_ATTEMPT
It's a car.,car,3.7,0.0,True,CORRECT
It's a plant.,tree,0.87,0.0,True,SEMANTIC_ERROR
it's it's like like um like um oftentimes,tree,0.7,0.0,True,PARTIAL_ATTEMPT
"Hmm. It's um, a tree.",tree,2.7,0.0,True,CORRECT
It's like um a hair,chair,2.49,0.0,True,PHONOLOGICAL_ERROR
it's um it's an ammo,apple,1.33,0.0,True,PARTIAL_ATTEMPT
it's like the thing the crunchy thing you eat like the fruit,apple,2.12,0.0,True,CIRCUMLOCUTION
It's a banana.,apple,5.94,0.0,True,SEMANTIC_ERROR
It's an apple.,apple,2.68,0.0,True,CORRECT
It's a vehicle.,car,0.95,0.0,True,SEMANTIC_ERROR
,tree,0.94,0.0,False,UNINTELLIGIBLE
with a plant.,tree,0.91,0.0,True,SEMANTIC_ERROR
"Um, it's um, um, t, t.",tree,2.29,0.0,True,PARTIAL_ATTEMPT
It's a table.,chair,0.92,0.0,True,SEMANTIC_ERROR
It's like a share,chair,0.64,0.0,True,PHONOLOGICAL_ERROR
Like a chair.,chair,3.98,0.0,True,CORRECT
It's a fruit.,apple,0.99,0.0,True,SEMANTIC_ERROR
it's like the red the red thing you eat,apple,1.41,0.0,True,CIRCUMLOCUTION
Um It's,apple,1.47,0.0,True,PARTIAL_ATTEMPT
Is it an apple?,apple,2.74,0.0,True,CORRECT
It's a vehicle.,car,1.91,0.0,True,SEMANTIC_ERROR
it's like an auto,car,1.61,0.0,True,SEMANTIC_ERROR
It's a car.,car,1.74,0.0,True,CORRECT
It's like a plant.,tree,1.12,0.0,True,SEMANTIC_ERROR
Like um... like um... like um... a bee.,tree,1.71,0.0,True,PHONOLOGICAL_ERROR
It's a tree.,tree,1.91,0.0,True,CORRECT
It's a share.,chair,0.9,0.0,True,PHONOLOGICAL_ERROR
It's um... um...,chair,2.49,0.0,True,PARTIAL_ATTEMPT
It's a chair.,chair,3.06,0.0,True,CORRECT
"This is better. Do you want an extra share? No, that's fine. Okay, do you want anything? What are you going to do? Is this an apple?",apple,1.01,0.0,True,CORRECT
"Maybe. Maybe the bit. Um, is it a vehicle?",car,0.99,0.0,True,SEMANTIC_ERROR
It's like a bar.,car,1.02,0.0,True,PHONOLOGICAL_ERROR
"Oh, it's like the plant you find in a park.",tree,1.02,0.0,True,CIRCUMLOCUTION
It's a tea?,tree,0.76,0.0,True,PHONOLOGICAL_ERROR
,chair,1.02,0.0,False,UNINTELLIGIBLE
It's a share.,chair,1.09,0.0,True,PHONOLOGICAL_ERROR
"Sorry, sorry, hi.",chair,0.76,0.0,True,PARTIAL_ATTEMPT
It's a chair.,chair,1.03,0.0,True,CORRECT
So,apple,1.02,0.0,True,PARTIAL_ATTEMPT
It's an F-O,apple,0.8,0.0,True,PARTIAL_ATTEMPT
Is it an e-pal?,apple,1.07,0.0,True,PHONOLOGICAL_ERROR
It's an apple.,apple,0.77,0.0,True,CORRECT
It's a vehicle.,car,1.13,0.0,True,SEMANTIC_ERROR
It's a car.,car,0.81,0.0,True,CORRECT
They're free.,tree,1.04,0.0,True,PHONOLOGICAL_ERROR
It's a tree.,tree,0.83,0.0,True,CORRECT
It's a share.,chair,1.08,0.0,True,PHONOLOGICAL_ERROR
It's a chair,chair,0.96,0.0,True,CORRECT
It's an echo.,apple,1.07,0.0,True,PARTIAL_ATTEMPT
It's an apple.,apple,0.76,0.0,True,CORRECT
Is it a crop?,car,1.05,0.0,True,PARTIAL_ATTEMPT
afar,car,0.8,0.0,True,PHONOLOGICAL_ERROR
It's a true,tree,1.05,0.0,True,PHONOLOGICAL_ERROR
It's a re.,tree,0.8,0.0,True,PHONOLOGICAL_ERROR
Um... It's a tree?,tree,0.8,0.0,True,CORRECT
Chair.,chair,1.01,0.0,True,CORRECT
recommend one people,apple,1.06,0.0,True,PHONOLOGICAL_ERROR
Something you... you... like you... you move with?,car,1.02,0.0,True,CIRCUMLOCUTION
"Yeah. I don't know, man.",car,1.07,0.0,True,PARTIAL_ATTEMPT
It's a car.,car,1.05,0.0,True,CORRECT
Yoo-hoo! It's a ti ti ti ti ti ti! Subscribe to Bikini Clips!,tree,1.09,0.0,True,PHONOLOGICAL_ERROR
It's free.,tree,1.11,0.0,True,PHONOLOGICAL_ERROR
Judy in the background. Tree.,tree,0.81,0.0,True,CORRECT
There,chair,1.02,0.0,True,PHONOLOGICAL_ERROR
,apple,5.47,0.0,False,SILENCE
"Uh, just... Um...",apple,1.18,0.0,True,PARTIAL_ATTEMPT
Banana,apple,2.02,0.0,True,SEMANTIC_ERROR
Uhhh.... App p... App pool...,apple,1.51,0.0,True,CORRECT
A car!,car,2.49,0.0,True,CORRECT
It's a type of plant.,tree,2.29,0.0,True,SEMANTIC_ERROR
It's a rose.,tree,1.19,0.0,True,PARTIAL_ATTEMPT
"errrrrr, that's sure erm..",tree,1.01,0.0,True,PARTIAL_ATTEMPT
It's the tree.,tree,5.63,0.0,True,CORRECT
Share,chair,1.09,0.0,True,PHONOLOGICAL_ERROR
It's something to sit on.,chair,2.29,0.0,True,SEMANTIC_ERROR
,chair,5.68,0.0,False,SILENCE
It's a chair.,chair,2.23,0.0,True,CORRECT
I mean I see something I can eat. Yeah.,apple,1.35,0.0,True,CIRCUMLOCUTION
I think it's a pair.,apple,1.07,0.0,True,PARTIAL_ATTEMPT
"I don't know, I thought it was a pear. Is it a banana?",apple,0.8,0.0,True,CIRCUMLOCUTION
"Hmm, an apple?",apple,0.94,0.0,True,CORRECT
Um hte uhhhh,car,1.08,0.0,True,PARTIAL_ATTEMPT
It's red.,car,1.06,0.0,True,PARTIAL_ATTEMPT
— A taxi?,car,1.05,0.0,True,SEMANTIC_ERROR
Fangما attacked naro,car,1.27,0.0,True,PARTIAL_ATTEMPT
It's a plant.,tree,0.92,0.0,True,SEMANTIC_ERROR
I think apples grow on this.,tree,0.75,0.0,True,CIRCUMLOCUTION
I don't know.,tree,0.79,0.0,True,PARTIAL_ATTEMPT
A tree.,tree,0.8,0.0,True,CORRECT
I think that's a share.,chair,1.52,0.0,True,PARTIAL_ATTEMPT
It's this thing you sit on and maybe you eat while you sit on it or you study.,chair,0.8,0.0,True,CIRCUMLOCUTION
"Yeah, share.",chair,1.03,0.0,True,PHONOLOGICAL_ERROR
"I know you sit on it, you just said that.",chair,1.01,0.0,True,CIRCUMLOCUTION
just so parents,apple,1.01,0.0,True,PARTIAL_ATTEMPT
disappear.,apple,1.02,0.0,True,PHONOLOGICAL_ERROR
Is it an orange?,apple,0.75,0.0,True,PARTIAL_ATTEMPT
Apple? Apple?,apple,0.79,0.0,True,CORRECT
,car,1.03,0.0,False,UNINTELLIGIBLE
,car,1.01,0.0,False,UNINTELLIGIBLE
A park,tree,1.01,0.0,True,SEMANTIC_ERROR
you,tree,0.74,0.0,True,PARTIAL_ATTEMPT
Bit and void. m calls again e,tree,1.03,0.0,True,PARTIAL_ATTEMPT
,tree,0.99,0.0,False,UNINTELLIGIBLE
three,tree,0.99,0.0,True,CORRECT
So,chair,1.06,0.0,True,PARTIAL_ATTEMPT
Seat.,chair,0.74,0.0,True,SEMANTIC_ERROR
I don't know.,chair,1.07,0.0,True,PARTIAL_ATTEMPT
Thank you.,chair,0.74,0.0,True,PARTIAL_ATTEMPT
Is it like a banana?,apple,1.26,0.0,True,SEMANTIC_ERROR
it's maybe like um like the thing you eat like um apple,apple,1.44,0.0,True,CORRECT
Um...,car,1.88,0.0,True,PARTIAL_ATTEMPT
brah blah blah blah,car,2.85,0.0,True,PARTIAL_ATTEMPT
So it's a bus.,car,1.0,0.0,True,SEMANTIC_ERROR
Is it a car?,car,1.59,0.0,True,CORRECT
"It's a plant, a green plant.",tree,0.96,0.0,True,CIRCUMLOCUTION
it's um it's um it's a,tree,1.21,0.0,True,PARTIAL_ATTEMPT
Is it a trick?,tree,1.84,0.0,True,PARTIAL_ATTEMPT
"Oh, it's a tree, a tree.",tree,2.42,0.0,True,CORRECT
this this is you sit on it you sit on it,chair,1.76,0.0,True,CIRCUMLOCUTION
It's like... like... air.,chair,1.57,0.0,True,PARTIAL_ATTEMPT
"Well, it's like a stool.",chair,2.09,0.0,True,SEMANTIC_ERROR
"Oh, it's a chair.",chair,1.44,0.0,True,CORRECT
NEPL,apple,1.79,0.0,True,CORRECT
Tire.,car,1.05,0.0,True,SEMANTIC_ERROR
"Buh, referees",car,0.89,0.0,True,PARTIAL_ATTEMPT
woop woop woop Yeah.,car,9.49,0.0,True,PARTIAL_ATTEMPT
"Kick. Jet, jet.",car,4.39,0.0,True,PARTIAL_ATTEMPT
BUSH!,tree,1.88,0.0,True,PARTIAL_ATTEMPT
It's a trunk.,tree,1.73,0.0,True,SEMANTIC_ERROR
Re. Re.,tree,3.0,0.0,True,PHONOLOGICAL_ERROR
3,tree,1.28,0.0,True,PARTIAL_ATTEMPT
It's a stool.,chair,0.93,0.0,True,SEMANTIC_ERROR
Wood,chair,1.22,0.0,True,SEMANTIC_ERROR
So fun.,chair,5.44,0.0,True,PARTIAL_ATTEMPT
It's a char.,chair,1.65,0.0,True,PHONOLOGICAL_ERROR
